gene,chromosome,oe_lof_upper,pLI,mis_z
CREBRF,5,0.1,0.99997,2.3634
HDAC2,6,0.1,0.99997,4.0512
SP1,12,0.1,0.99997,1.1354
MAPK8IP2,22,0.1,0.99997,2.5589
AP2A1,19,0.101,1.0,4.3968
ARCN1,11,0.101,0.99997,2.0819
SPTAN1,9,0.101,1.0,5.523
RPTOR,17,0.101,1.0,4.9391
CAND1,12,0.101,1.0,4.1554
COPS2,15,0.101,0.99997,4.1315
SALL4,20,0.101,0.99997,1.075
CACNA1C,12,0.102,1.0,6.4654
ARID1B,6,0.102,1.0,2.5854
PSMD2,3,0.102,1.0,3.0867
PSMD3,17,0.102,0.99997,2.2798
KMT2D,12,0.103,1.0,3.7288
UBAP2L,1,0.103,1.0,3.3429
ZNF148,3,0.103,0.99997,3.5168
BTK,X,0.103,0.99996,4.0394
RRM1,11,0.103,1.0,3.9913
PPP2R5E,14,0.103,0.99997,3.8338
RFX3,9,0.104,1.0,3.4728
BIRC6,2,0.104,1.0,3.2081
LMNB2,19,0.104,0.99996,0.65875
CLTC,17,0.104,1.0,7.7637
COPA,1,0.105,1.0,3.558
COL1A1,17,0.105,1.0,3.5319
DHX15,4,0.105,1.0,5.6313
DHX9,1,0.105,1.0,5.8433
MAP2,2,0.105,1.0,0.88429
ZMYM3,X,0.106,1.0,4.306
AGO2,8,0.106,1.0,6.0576
ANK2,4,0.106,1.0,1.9641
RALGAPB,20,0.106,1.0,3.1771
IPO7,11,0.106,1.0,3.5332
PRPF19,11,0.106,0.99995,3.7434
SCAF4,21,0.106,1.0,1.9418
TBL1XR1,3,0.106,0.99995,4.2042
ZCCHC11,1,0.107,1.0,2.7573
ZCCHC6,9,0.107,1.0,2.7319
ANKRD11,16,0.107,1.0,-0.55363
PAFAH1B1,17,0.107,0.99995,3.5284
ZEB2,2,0.107,1.0,3.9433
AP2A2,11,0.108,1.0,3.1324
SMU1,9,0.108,0.99994,4.3121
NAA25,12,0.108,1.0,3.4483
UBA1,X,0.108,1.0,3.4752
BAZ1B,7,0.109,1.0,3.723
HNRNPH1,5,0.109,0.99993,4.0892
VPRBP,3,0.109,1.0,4.8396
CTIF,18,0.109,0.99994,1.4914
ABCB7,X,0.109,0.99994,2.9037
UTP15,5,0.11,0.99993,1.4372
SETBP1,18,0.11,1.0,1.0965
ARID5B,10,0.11,1.0,2.5999
RBM10,X,0.11,1.0,4.4623
TPR,1,0.111,1.0,2.9916
RCOR1,14,0.111,0.99992,1.8685
SUFU,10,0.111,0.99992,1.9341
TRPS1,8,0.111,1.0,1.5433
MTA1,14,0.111,1.0,3.502
RUVBL2,19,0.111,0.99992,3.1128
EIF4G3,1,0.112,1.0,2.9693
MDM4,1,0.112,0.99992,1.7134
NTRK2,9,0.112,1.0,3.7344
ANKHD1,5,0.112,1.0,4.4679
ANKHD1-EIF4EBP3,5,0.112,1.0,4.4679
RORB,9,0.112,0.99991,3.0833
TIAL1,10,0.112,0.99992,3.5808
NRXN3,14,0.112,1.0,3.438
PTPRD,9,0.112,1.0,0.27314
WAPAL,10,0.112,1.0,3.4597
RBM26,13,0.112,1.0,2.529
RIF1,2,0.113,1.0,-0.41404
NLK,17,0.113,0.99991,3.565
PHIP,6,0.113,1.0,5.1395
LPHN2,1,0.113,1.0,1.2236
DPYSL5,2,0.113,0.99991,3.0829
USP8,15,0.113,1.0,1.8666
TIPARP,3,0.113,0.99991,1.7319
ZBTB4,17,0.113,0.99991,1.931
ISY1,3,0.114,0.9999,1.2445
HNRNPU,1,0.114,1.0,3.3718
TLK2,17,0.114,1.0,4.4909
TRERF1,6,0.114,1.0,2.2553
DHX30,3,0.115,1.0,5.2961
MYCBP2,13,0.115,1.0,6.0451
FUBP1,1,0.115,1.0,2.9689
TRIM24,7,0.115,1.0,3.4302
ZC3H7A,16,0.115,1.0,1.749
UBXN7,3,0.116,0.99988,3.1822
SLC17A7,19,0.116,0.99988,3.4894
NOTCH2,1,0.116,1.0,3.5024
SMARCC1,3,0.116,1.0,2.4466
RAI1,17,0.116,1.0,1.1156
CSE1L,20,0.117,1.0,2.8493
EIF4A1,17,0.117,0.99987,3.9298
PIK3CA,3,0.117,1.0,5.5986
KIF5C,2,0.117,1.0,4.0539
REV3L,6,0.117,1.0,2.4677
AGPS,2,0.117,1.0,3.2294
ADAM10,15,0.117,1.0,3.3058
MED1,17,0.117,1.0,2.1391
SMARCC2,12,0.117,1.0,3.9085
MYRF,11,0.117,1.0,3.2927
DOT1L,19,0.118,1.0,2.7249
CHAF1A,19,0.118,1.0,1.8498
PSMD1,2,0.118,1.0,3.6969
SRRM2,16,0.118,1.0,-6.2829
PIAS4,19,0.118,0.99986,2.6256
ACTR3,2,0.118,0.99986,3.6093
DDX3X,X,0.118,0.99986,4.3295
TSC1,9,0.118,1.0,2.3217
SON,21,0.118,1.0,1.541
WHSC1,4,0.119,1.0,3.8981
TCEB3,1,0.119,1.0,1.7919
STAG1,3,0.119,1.0,4.4429
ATRX,X,0.119,1.0,3.1025
VCPIP1,8,0.119,1.0,3.5573
EIF4A3,17,0.119,0.99985,4.021
MAU2,19,0.119,1.0,4.0347
PSMC2,7,0.119,0.99985,3.6201
DAZAP1,19,0.119,0.99985,3.3738
POGZ,1,0.119,1.0,3.5062
PRKAR1A,17,0.119,0.99985,3.1236
SF3A3,1,0.119,1.0,3.6172
FXR1,3,0.119,1.0,3.201
CDC42BPB,14,0.12,1.0,3.6598
XPO7,8,0.12,1.0,4.8157
RARB,3,0.12,0.99983,2.8661
RERE,1,0.12,1.0,2.0321
ZMYND11,10,0.12,1.0,3.7109
RPL4,15,0.12,0.99984,1.2717
SUPT16H,14,0.12,1.0,5.1004
ZBTB47,3,0.12,0.99983,2.4493
PRRC2C,1,0.121,1.0,2.4949
PPFIA3,19,0.121,1.0,5.487
ATP1A1,1,0.121,1.0,6.2154
KIF11,10,0.121,1.0,3.2716
NCOA2,8,0.121,1.0,2.2865
HIPK1,1,0.121,1.0,2.4799
KIAA0430,16,0.121,1.0,2.7293
ARMCX4,X,0.122,1.0,2.6373
KMT2C,7,0.122,1.0,2.1357
PIK3AP1,10,0.122,1.0,2.2563
SEMA4C,2,0.122,1.0,2.3851
CYTH1,17,0.122,0.99981,2.4385
RBM17,10,0.122,0.99981,3.1023
RTF1,15,0.122,1.0,4.5908
IPO5,13,0.122,1.0,3.3553
NUP98,11,0.122,1.0,1.4058
TRAF2,9,0.123,0.99979,1.5611
EIF4B,12,0.123,0.99999,2.1528
ADNP,20,0.123,1.0,2.0722
RET,10,0.123,1.0,0.95512
TEAD1,11,0.123,0.9998,1.6568
CCDC22,X,0.123,0.99979,1.2892
SHANK3,22,0.123,1.0,3.7434
CACNA1E,1,0.124,1.0,5.8125
PRMT5,14,0.124,0.99999,3.0264
JADE3,X,0.124,0.99978,1.8969
WDR5,9,0.124,0.99978,3.3923
CUL4A,13,0.124,0.99999,2.8055
PCLO,7,0.124,1.0,-1.461
ZNF219,14,0.124,0.99977,2.9209
GAPVD1,9,0.125,1.0,2.5854
EPC1,10,0.125,1.0,2.6729
KCNB1,20,0.125,0.99977,4.269
NLGN2,17,0.126,0.99974,4.4674
PCDH19,X,0.126,0.99975,2.5929
DDX17,22,0.126,0.99999,3.8727
RB1,13,0.126,1.0,2.673
WNK1,12,0.126,1.0,2.1626
ZC3H18,16,0.126,1.0,0.58028
CDK12,17,0.126,1.0,2.5249
HECTD4,12,0.127,1.0,6.9421
RALGPS1,9,0.127,0.99999,3.0924
TNRC6C,17,0.127,1.0,1.6515
SCN2A,2,0.127,1.0,6.4584
SOBP,6,0.127,0.99972,1.9237
VCP,9,0.127,0.99999,5.4064
TLN1,9,0.128,1.0,4.6725
BTAF1,10,0.128,1.0,4.3771
EPHA7,6,0.128,1.0,2.3854
COL4A1,13,0.128,1.0,3.0194
SIK3,11,0.128,1.0,2.8311
KAT6B,10,0.128,1.0,2.8874
KAT7,17,0.128,0.99999,4.2786
ZFR,5,0.128,1.0,4.0921
GSE1,16,0.128,1.0,-3.3094
GSK3A,19,0.128,0.9997,3.2166
L1CAM,X,0.129,1.0,2.836
CTNNB1,3,0.129,0.99999,3.846
PBRM1,3,0.129,1.0,3.8389
PRICKLE1,12,0.129,0.99999,1.8336
PUM1,1,0.129,1.0,4.4202
AHCTF1,1,0.129,1.0,-0.3814
TNPO2,19,0.129,1.0,5.8776
AAK1,2,0.129,1.0,2.612
RASA1,5,0.129,1.0,3.0984
CDC5L,6,0.129,1.0,2.782
FERMT2,14,0.13,0.99999,1.9559
WTAP,6,0.13,0.99966,2.2692
UBR3,2,0.13,1.0,4.4286
SCN8A,12,0.13,1.0,7.6404
FNIP2,4,0.13,1.0,1.2788
MSN,X,0.13,0.99967,2.9335
PPP1R12A,12,0.13,1.0,2.6368
RANBP9,6,0.13,0.99999,1.4878
USP47,11,0.13,1.0,2.4375
CCDC88A,2,0.13,1.0,2.3494
MLLT3,9,0.131,0.99964,1.8957
EIF3A,10,0.131,1.0,3.0406
YTHDC2,5,0.131,1.0,0.32526
KSR2,12,0.131,1.0,3.3393
ZMYND8,20,0.131,1.0,4.0385
CCNA2,4,0.132,0.99962,2.2192
PTPN6,12,0.132,0.99999,2.8659
SCML2,X,0.132,0.99961,2.3993
SNRK,3,0.132,0.99961,3.4703
MINK1,17,0.132,1.0,4.0825
IRF6,1,0.132,0.99961,2.7435
ZRSR2,X,0.132,0.99963,1.4554
RFX7,15,0.132,1.0,1.5996
CSTF2,X,0.133,0.99959,3.4292
NR4A2,2,0.133,0.99959,2.2357
TULP4,6,0.133,1.0,1.3674
MAP1B,5,0.133,1.0,2.5114
USP42,7,0.133,1.0,-1.6319
ZNF592,15,0.133,0.99998,0.80414
NPAS2,2,0.133,1.0,2.5032
ZSWIM8,10,0.133,1.0,5.1433
IQSEC2,X,0.133,0.99998,5.1894
U2AF2,19,0.133,0.9996,4.7134
ITPR1,3,0.134,1.0,5.5951
COL2A1,12,0.134,1.0,3.2926
NPLOC4,17,0.134,0.99998,3.2
MAPKAPK2,1,0.134,0.99957,3.0509
DDX42,17,0.134,1.0,3.2873
CACNA1A,19,0.134,1.0,5.7845
SUZ12,17,0.134,0.99998,3.4007
PHF12,17,0.135,1.0,2.4291
DACH1,13,0.135,0.99954,2.1853
PORCN,X,0.135,0.99953,2.3709
CTR9,11,0.135,1.0,4.301
RBM5,3,0.135,1.0,4.1668
NRBP1,2,0.135,0.99998,3.4251
TBX5,12,0.135,0.99954,1.1948
FRMD4A,10,0.135,1.0,2.4555
PTPN11,12,0.135,0.99998,3.1293
DLGAP3,1,0.136,0.99998,2.6275
HIRA,22,0.136,1.0,3.7065
SETD1A,16,0.136,1.0,1.8312
NAA35,9,0.136,1.0,3.6634
ELMSAN1,14,0.136,1.0,1.7895
CACTIN,19,0.136,0.99998,3.2011
ARHGEF6,X,0.136,0.99998,1.3479
FAM120C,X,0.136,0.99998,3.6347
RBM6,3,0.136,1.0,2.1708
KIF1A,2,0.136,1.0,5.1579
MECOM,3,0.136,1.0,1.6191
MBD5,2,0.136,1.0,0.85582
MEIS1,2,0.136,0.99951,3.3037
INTS6,13,0.136,1.0,3.8322
ZFHX3,16,0.136,1.0,-1.2345
JPH4,14,0.137,0.99948,2.5587
SMARCA1,X,0.137,1.0,2.4397
HEATR1,1,0.137,1.0,0.087059
BAI3,6,0.138,1.0,1.8253
SLC12A5,20,0.138,1.0,4.7022
TAF3,10,0.138,0.99997,2.2059
SHOC2,10,0.138,0.99946,2.9666
PSMC1,14,0.138,0.99945,3.9473
RBM22,5,0.138,0.99947,3.1553
NFKB1,4,0.138,1.0,3.1933
AFF4,5,0.138,1.0,2.4744
RB1CC1,8,0.138,1.0,0.81178
SAFB,19,0.138,1.0,2.1425
TRAPPC8,18,0.138,1.0,1.2108
ARID4A,14,0.139,1.0,1.4478
TRIO,5,0.139,1.0,5.3161
YTHDF2,1,0.139,0.99943,2.2666
PPFIA2,12,0.139,1.0,3.2597
KDM6B,17,0.14,1.0,1.3161
SPTB,14,0.14,1.0,0.75083
SOS1,2,0.14,1.0,3.0487
BAI1,8,0.14,1.0,4.4814
AMBRA1,11,0.14,1.0,2.948
UBE2O,17,0.14,1.0,3.4439
ZNF292,6,0.14,1.0,1.4077
BCOR,X,0.141,1.0,1.8797
HDAC5,17,0.141,1.0,3.3205
PODXL2,3,0.141,0.99936,0.90734
AFTPH,2,0.141,0.99997,0.69187
RANBP3,19,0.141,0.99997,1.848
SPAG9,17,0.142,1.0,3.1339
FNBP4,11,0.142,1.0,1.3931
AGPAT3,21,0.142,0.99933,2.5373
RANBP2,2,0.142,1.0,-0.77637
TKTL1,X,0.142,0.99933,-0.84515
ZBTB44,11,0.142,0.99929,1.8738
WHSC1L1,8,0.142,1.0,3.7289
CNOT4,7,0.143,0.99996,3.4912
JAG2,14,0.143,1.0,2.1968
TFCP2L1,2,0.143,0.99996,1.6322
MAOA,X,0.143,0.99928,2.3802
SAMD4B,19,0.143,0.99996,3.0439
CSNK1E,22,0.143,0.99926,3.1802
DNMT1,19,0.143,1.0,4.9903
PHEX,X,0.143,0.99996,1.7091
ATXN2L,16,0.143,1.0,2.2452
XPO4,13,0.143,1.0,4.0208
ARFGEF1,8,0.143,1.0,5.3687
COPS5,8,0.144,0.99925,3.4393
SPOP,17,0.144,0.99922,4.1412
CSDE1,1,0.144,1.0,3.452
API5,11,0.144,0.99996,2.924
CUL1,7,0.144,1.0,5.7019
DDX46,5,0.144,1.0,5.4802
ZFHX4,8,0.144,1.0,1.006
GNB1,1,0.145,0.9992,3.8328
HOMER1,5,0.145,0.9992,2.4268
ZFPM2,8,0.145,1.0,0.21282
AEBP2,12,0.145,0.99921,2.2141
NUP85,17,0.145,1.0,0.75518
CBLL1,7,0.145,0.99918,1.34
RNF38,9,0.145,0.99995,1.5631
BAZ2A,12,0.146,1.0,2.083
JAG1,20,0.146,1.0,3.2459
ASXL2,2,0.146,1.0,1.707
SP3,2,0.146,0.99995,1.6289
SRRM1,1,0.146,1.0,1.4554
MAML1,5,0.146,0.99995,0.48146
CCNC,6,0.146,0.99914,2.2504
KIF23,15,0.146,1.0,2.0848
EZH2,7,0.146,1.0,4.6808
RFX4,12,0.147,0.99999,2.2288
XRCC5,2,0.147,0.99999,2.8095
USP24,1,0.147,1.0,4.9858
CHD3,17,0.147,1.0,6.1518
HNRNPA1,12,0.147,0.99911,2.8218
PPP1CB,2,0.147,0.99912,4.3319
FLT4,5,0.147,1.0,2.8339
UNC79,14,0.147,1.0,4.16
ZNF217,20,0.147,0.99995,1.0318
EFHC2,X,0.147,0.9991,0.62188
WBP11,12,0.148,0.99994,2.9803
ITPKB,1,0.148,0.99994,0.63575
CTCF,16,0.148,0.99994,4.4399
ATP2B2,3,0.148,1.0,4.5484
MAOB,X,0.148,0.99903,1.7504
KLHDC3,6,0.148,0.99908,3.4465
PRMT1,19,0.148,0.99907,3.8139
TGFB2,1,0.148,0.99905,2.1307
DIP2C,10,0.149,1.0,4.6684
NFIX,19,0.149,0.99903,4.0788
FBXL17,5,0.149,0.99901,2.1683
WAS,X,0.149,0.99901,1.9754
GCM1,6,0.149,0.999,1.4359
YBX2,17,0.15,0.99896,1.6018
TLE4,9,0.15,0.99999,3.5952
SLC6A1,3,0.15,0.99993,4.1766
EBF3,10,0.15,0.99993,3.6113
MAPK8IP3,16,0.15,1.0,2.8844
AHSA1,14,0.15,0.99896,1.6949
PAN3,13,0.15,0.99999,2.5155
PKN2,1,0.15,1.0,2.9696
ABCD1,X,0.15,0.99896,1.8659
SETD1B,12,0.151,1.0,4.6656
CLCN4,X,0.151,0.99893,4.5166
ARHGEF9,X,0.151,0.9989,3.0427
B4GALT5,20,0.151,0.99889,2.3653
MSL1,17,0.151,0.9989,1.7703
SERPINC1,1,0.151,0.99892,1.3587
KALRN,3,0.152,1.0,4.3604
CASZ1,1,0.152,1.0,2.6057
MARCH6,5,0.152,1.0,3.8752
SFPQ,1,0.152,0.99992,2.9778
BCORL1,X,0.152,0.99999,2.0631
CMIP,16,0.152,0.99999,3.2599
PPRC1,10,0.152,1.0,0.24445
DDX26B,X,0.152,0.99992,1.7066
C11orf30,11,0.153,1.0,1.9917
EFEMP1,2,0.153,0.99992,1.8234
MAPKAP1,9,0.153,0.99991,2.8287
ATP1B1,1,0.153,0.99881,2.0014
ELFN1,7,0.153,0.99882,2.4386
SMCHD1,18,0.153,1.0,3.6318
FBXW2,9,0.153,0.99877,2.4355
GGA1,22,0.153,0.99992,1.2245
CAMSAP3,19,0.154,1.0,3.3493
AHR,7,0.154,0.99999,0.73492
DMD,X,0.154,1.0,-2.4322
PPP1R10,6,0.154,1.0,2.9467
HDLBP,2,0.154,1.0,4.0979
ZNF609,15,0.154,1.0,1.826
ARHGAP42,11,0.155,1.0,2.9649
OCRL,X,0.155,0.99999,2.9631
RICTOR,5,0.155,1.0,3.0542
ZNF541,19,0.155,1.0,2.6436
FASN,17,0.155,1.0,2.3643
ATAD2B,2,0.155,1.0,3.9649
PCIF1,20,0.155,0.99999,2.413
DENND5B,12,0.155,1.0,3.3888
HOOK3,8,0.155,1.0,2.3553
ARHGEF2,1,0.156,1.0,3.6056
XPR1,1,0.156,0.99999,3.2335
INTS10,8,0.156,0.99999,1.4436
USP3,15,0.156,0.99989,2.1075
MARK2,11,0.156,0.99999,4.449
IKZF1,7,0.156,0.9986,3.3753
CDH11,16,0.156,0.9999,1.5868
KDM4A,1,0.156,1.0,3.6814
RREB1,6,0.156,1.0,-0.42654
CHD4,12,0.156,1.0,6.3412
HIPK2,7,0.156,1.0,2.8624
NR2E1,6,0.156,0.99864,2.5971
KPNA4,3,0.156,0.99989,3.23
CHD5,1,0.157,1.0,5.3168
PLXND1,3,0.157,1.0,3.3465
RXRA,9,0.157,0.99852,2.9681
LRRC7,1,0.157,1.0,3.6044
ZFC3H1,12,0.157,1.0,2.1425
UBE4B,1,0.157,1.0,3.726
DOCK3,3,0.158,1.0,3.9356
DMXL2,15,0.158,1.0,2.3662
PELP1,17,0.158,0.99998,1.1164
TXLNG,X,0.158,0.99845,0.086261
UNC13A,19,0.158,1.0,5.6267
MAT2A,2,0.158,0.99846,3.6313
HECTD1,14,0.158,1.0,5.0113
KCNQ2,20,0.158,0.99998,4.0411
TANC2,17,0.158,1.0,2.3435
PPP3CA,4,0.158,0.99988,3.6261
LARP4B,10,0.158,0.99998,1.9418
EPC2,2,0.159,0.99998,2.6999
ROBO2,3,0.159,1.0,1.6495
MAST1,19,0.159,1.0,5.7703
POLR2A,17,0.159,1.0,7.1307
GRIPAP1,X,0.159,0.99998,2.6163
PSMD11,17,0.159,0.99987,2.6112
TNRC6A,16,0.159,1.0,1.1316
ESPL1,12,0.159,1.0,4.3141
CUL5,11,0.159,1.0,4.5936
FBRS,16,0.159,0.99987,0.76428
SAP130,2,0.159,1.0,3.2452
ALG13,X,0.16,0.99998,1.1475
SMAD5,5,0.16,0.99838,3.0005
GNB2L1,5,0.16,0.99836,3.5758
SLIT2,4,0.16,1.0,2.0993
PPM1A,14,0.16,0.99834,2.5758
PPP4R2,3,0.16,0.99835,0.0008929
GSPT1,16,0.16,0.99986,3.3179
PIP4K2B,17,0.16,0.99837,3.0507
ZFX,X,0.16,0.99831,3.1463
KANSL3,2,0.16,0.99998,2.4705
RORC,1,0.161,0.99985,2.2852
ZNF800,7,0.161,0.99985,0.9909
DPF2,11,0.161,0.99985,2.8982
